name,imdb_name,imdb_rate,imdb_ppl,storyline
Bone Tomahawk, Bone Tomahawk (2015) ,7.1,95K,"After an outlaw unknowingly leads a band of cannibalistic Troglodytes into the peaceful western town of Bright Hope, the monsters kidnap several settlers, including the wife of a local rancher. Despite his injured leg the rancher joins a small rescue party with the sheriff, his aging deputy and a strong-willed gunslinger. What follows is a journey into hell on earth as the posse comes to realize it is up against a foe whose savagery knows no bounds. The film takes place at the turn of the century around the border of what is now Texas and New Mexico. —Anonymus"
Climates, Climates (2006) ,7.1,13K,"In Turkey, the middle-age University Professor Isa and his younger wife Bahar, who works in television, are spending summer vacation in Kas. After a couple of days, Isa decides to separate from Bahar since they do not communicate with each other. Bahar returns to Istanbul alone and then she travels to the countryside to work in a new project. Meanwhile Isa meets his former lover Serap with his friend Guven and later he rapes her in her house. Then he travels to meet Bahar and propose her to move in together again. What will be her decision? —Claudio Carvalho, Rio de Janeiro, Brazil"
Poetry, Poetry (2010) ,7.8,12K,"A sixty-something woman, faced with the discovery of a heinous family crime and in the early stages of Alzheimer's disease, finds strength and purpose when she enrolls in a poetry class."
Beyond the Hills, Beyond the Hills (2012) ,7.5,12K,"Alina and Voichita have been friends since their orphanage days. And they have been lovers since they became sexually mature. But despite their oath of mutual fidelity, Alina, who could not bear poverty any more, emigrated to Germany where she became a barmaid. Now she just could not take the estrangement from Voichita and today she is back to Romania with a view to taking Voichita along with her to Germany. The only trouble is that in the meantime her girlfriend has betrayed her in falling in love with... God! Voichita indeed now lives in a convent where she plans to make vows. The priest agrees, if somewhat reluctantly, to accommodate Alina before their (hypothetical) departure. He sees all too well that not only is the young woman materialistic but hostile and troublesome as well... —Guy Bellinger"
All Divided Selves, All Divided Selves (2011) ,6.5,13,"In R.D. Laing's now classic text ""The Politics of Experience"" (1967) Laing argued that normality entailed adjusting ourselves to the mystification of an alienating and depersonalizing world. Thus, those society labels as 'mentally ill' are in fact 'hyper-sane' travelers, conducting an inner voyage through aeonic time. The film concentrates on archival representations of Laing and his colleagues as they struggled to acknowledge the importance of considering social environment and disturbed interaction in institutions as significant factors in the aetiology of human distress and suffering. All Divided Selves reprises the vacillating responses to these radical views and the less forgiving responses to Laing's latter career shift; from eminent psychiatrist to enterprising celebrity. A dense, engaging and lyrical collage- Fowler weaves archival material with his own filmic observations-marrying a dynamic soundtrack of field recordings with recorded music by Éric La Casa, Jean-Luc Guionnet and Alasdair Roberts. —Ulf Kjell Gür"
Oasis, Oasis (2017) (TV Movie) ,8.1,5.3K,A Scottish chaplain embarks on an epic journey through space.
Bad Education, Bad Education (2019) ,7.1,38K,"A Long Island school superintendent and his assistant are credited with bringing the district unprecedented prestige. Frank is a master of positive messaging, whether before an audience of community leaders or in an office with a concerned student or parent. That changes when a student reporter uncovers an embezzlement scheme of epic proportions, prompting Frank to devise an elaborate cover-up."
The House of Mirth, The House of Mirth (2000) ,7.0,7.5K,"Terence Davies' The House of Mirth is a tragic love story set against a background of wealth and social hypocrisy in turn of the century New York. Lily Bart is a ravishing socialite at the height of her success who quickly discovers the precariousness of her position when her beauty and charm start attracting unwelcome interest and jealousy. Torn between her heart and her head, Lily always seems to do the right thing at the wrong time. She seeks a wealthy husband and in trying to conform to social expectations, she misses her chance for real love with Lawrence Selden."
Locke, Locke (2013) ,7.1,144K,"Leaving the construction site on the eve of a major project, construction manager Ivan Locke receives news that sends him driving the two hours from Birmingham to London, but even further from the life he once knew. Making the decision that he has to make, he then calls his wife, his sons, his co-workers and boss telling them the secret that he is bearing and trying to keep his job and family intact. But even more importantly, he will have to face himself and the choices he has made. —Anne Campbell"
Sin Nombre, Sin Nombre (2009) ,7.6,32K,"Honduran teenager Sayra reunites with her father, an opportunity for her to potentially realize her dream of a life in the U.S. Moving to Mexico is the first step in a fateful journey of unexpected events. —IMDb Editors"
Man on Wire, Man on Wire (2008) ,7.7,55K,"On August 7, 1974, Philippe Petit, a French wire walker, juggler, and street performer days shy of his 25th birthday, spent 45 minutes walking, dancing, kneeling, and lying on a wire he and friends strung between the rooftops of the Twin Towers. Uses contemporary interviews, archival footage, and recreations to tell the story of his previous walks between towers of Notre Dame and of the Sydney Harbour Bridge, his passions and friendships, and the details of the night before the walk: getting cable into the towers, hiding from guards, and mounting the wire. It ends with observations of the profound changes the walk's success brought to Philippe and those closest to him. —<jhailey@hotmail.com>"
Babel, Babel (I) (2006) ,7.4,297K,"Four interlocking stories connected by a single gun converge at the end to reveal a complex and tragic story of the lives of humanity around the world and how we truly aren't all that different. In Morocco, a troubled married couple are on vacation trying to work out their differences. Meanwhile, a Moroccan herder buys a rifle for his sons so they can keep the jackals away from his herd. A girl in Japan dealing with rejection, the death of her mother, the emotional distance of her father, her own self-consciousness, and a disability among many other issues, deals with modern life in the enormous metropolis of Tokyo, Japan. Then, on the opposite side of the world the married couple's Mexican nanny takes the couple's two children with her to her son's wedding in Mexico, only to come into trouble on the return trip. Combined, it provides a powerful story and an equally powerful looking glass into the lives of seemingly random people around the world and it shows just how connected we really are. —Mac"
